,throughput,new_flow,new_flow_normalized
676,0.01184,1.4,0.125
677,0.08288,0,0
678,0,0,0
679,0,0.4,0.0357142857
680,0.02368,0.4,0.0357142857
681,0.01184,0.2,0.0178571429
682,0.01184,1.6,0.1428571429
683,0.08384,1.6,0.1428571429
684,0.05952,1.4,0.125
685,0.07392,1.4,0.125
686,0.05344,1,0.0892857143
687,0.03552,0.4,0.0357142857
688,0.02368,1.8,0.1607142857
689,0.10016,1.8,0.1607142857
690,0.05536,2,0.1785714286
691,0.10944,2,0.1785714286
692,0.03552,1.8,0.1607142857
693,0.09888,0.6,0.0535714286
694,0.03552,1.2,0.1071428571
695,0.07104,0.8,0.0714285714
696,0.04736,0.6,0.0535714286
697,0.03552,0.6,0.0535714286
698,0.11744,2.2,0.1964285714
699,0.12256,2.2,0.1964285714
700,0.11872,2,0.1785714286
701,0.11968,0.6,0.0535714286
702,0.03552,1.4,0.125
703,0.07392,1.4,0.125
704,0.01184,0.6,0.0535714286
705,0.03552,0.4,0.0357142857
706,0.02368,0.4,0.0357142857
707,0.03552,0.8,0.0714285714
708,0.04992,0.4,0.0357142857
709,0.0224,0.4,0.0357142857
710,0.02368,0.4,0.0357142857
711,0.02368,0.4,0.0357142857
712,0.10688,0,0
713,0,0.6,0.0535714286
714,0.03296,0.6,0.0535714286
715,0.0528,0,0
716,0,0,0
717,0.01184,0.2,0.0178571429
718,0.07104,1.2,0.1071428571
719,0,0,0
720,0.0448,0.4,0.0357142857
721,0.02368,0.8,0.0714285714
722,0.04864,0.8,0.0714285714
723,0.01184,0.4,0.0357142857
724,0.02432,0.4,0.0357142857
725,0.0224,0.8,0.0714285714
726,0.04512,1,0.0892857143
727,0.0592,0.2,0.0178571429
728,0.01184,2,0.1785714286
729,0.112,1,0.0892857143
730,0.0592,0,0
731,0,0,0
732,0.02368,0.4,0.0357142857
733,0.02368,0.6,0.0535714286
734,0.03488,2.4,0.2142857143
735,0.128,0.8,0.0714285714
736,0.0448,4.6,0.4107142857
737,0.24672,4.6,0.4107142857
738,0.0592,1,0.0892857143
739,0,0,0
740,0.01984,0.6,0.0535714286
741,0.03552,1.4,0.125
742,0.07328,1.6,0.1428571429
743,0.08576,1.6,0.1428571429
744,0.02368,0.4,0.0357142857
745,0.14624,2.6,0.2321428571
746,0.04544,0.2,0.0178571429
747,0.01184,1.8,0.1607142857
748,0.10144,3.2,0.2857142857
749,0.1728,2.8,0.25
750,0.14976,1.8,0.1607142857
751,0.0976,3.6,0.3214285714
752,0.21312,1.6,0.1428571429
753,0.08704,0,0
754,0,0.8,0.0714285714
755,0.04736,5.4,0.4821428571
756,0.29472,1.2,0.1071428571
757,0.06912,2.4,0.2142857143
758,0.13312,2.4,0.2142857143
759,0.09472,1.6,0.1428571429
760,0.04736,0.8,0.0714285714
761,0.04736,1.2,0.1071428571
762,0.07104,1.2,0.1071428571
763,0.09472,1.6,0.1428571429
764,0.1168,2.2,0.1964285714
765,0.03552,0.4,0.0357142857
766,0.02176,2.8,0.25
767,0.15808,0.2,0.0178571429
768,0.01184,0,0
769,0,0,0
770,0.04544,0.8,0.0714285714
771,0.38816,6.6,0.5892857143
772,0.2128,3.8,0.3392857143
773,0.1568,1,0.0892857143
774,0.05408,8,0.7142857143
775,0.46336,2.8,0.25
776,0.15296,0.2,0.0178571429
777,0.01184,0.4,0.0357142857
778,0.02048,2.6,0.2321428571
779,0.14624,0.6,0.0535714286
780,0.03552,0.4,0.0357142857
781,0.02368,1.8,0.1607142857
782,0.10528,1,0.0892857143
783,0.05728,1,0.0892857143
784,0.04544,1.2,0.1071428571
785,0.06528,1.2,0.1071428571
786,0.064,1.2,0.1071428571
787,0.06336,0.6,0.0535714286
788,0.03168,0.4,0.0357142857
789,0.02048,1.4,0.125
790,0.07328,0.2,0.0178571429
791,0.01184,0.2,0.0178571429
792,0.07136,1.4,0.125
793,0,0,0
794,0.08576,0.4,0.0357142857
795,0.02304,2,0.1785714286
796,0.11136,2,0.1785714286
797,0.0224,0.4,0.0357142857
798,0.04224,2.6,0.2321428571
799,0.14368,1.2,0.1071428571
800,0.06528,0.6,0.0535714286
801,0.03552,0.2,0.0178571429
802,0.01184,0.6,0.0535714286
803,0.03424,0.2,0.0178571429
804,0.01184,0,0
805,0,1.2,0.1071428571
806,0.07104,0.8,0.0714285714
807,0.04352,4.6,0.4107142857
808,0.24416,1.8,0.1607142857
809,0.09632,1.6,0.1428571429
810,0.08704,1.6,0.1428571429
811,0.05408,1,0.0892857143
812,0.04224,0.8,0.0714285714
813,0.07104,0.2,0.0178571429
814,0.0096,0.6,0.0535714286
815,0.03552,0.6,0.0535714286
816,0.03616,0.6,0.0535714286
817,0.09536,1.6,0.1428571429
818,0,1.6,0.1428571429
819,0.09472,1.2,0.1071428571
820,0.06976,1,0.0892857143
821,0.05504,4,0.3571428571
822,0.22592,4,0.3571428571
823,0.05984,1,0.0892857143
824,0.02368,0.4,0.0357142857
825,0.056,1,0.0892857143
826,0.12864,2.4,0.2142857143
827,0,0,0
828,0.0752,1.4,0.125
829,0.05856,1,0.0892857143
830,0,0,0
831,0.03296,0.6,0.0535714286
832,0.1568,2.8,0.25
833,0.09216,1.6,0.1428571429
834,0.06656,1.2,0.1071428571
835,0.14336,2.4,0.2142857143
836,0,0.6,0.0535714286
837,0.03552,0.2,0.0178571429
838,0.01184,1.6,0.1428571429
839,0.10656,1.6,0.1428571429
840,0.04736,1.2,0.1071428571
841,0.07104,0.4,0.0357142857
842,0.02368,0.4,0.0357142857
843,0.02368,0.4,0.0357142857
844,0.01184,1.2,0.1071428571
845,0.05792,1.4,0.125
846,0.07904,3.2,0.2857142857
847,0.1856,2.4,0.2142857143
848,0.13568,1,0.0892857143
849,0.05536,0.8,0.0714285714
850,0.04736,1.2,0.1071428571
851,0.07104,0.4,0.0357142857
852,0.02368,3,0.2678571429
853,0.1744,4,0.3571428571
854,0.2304,2.6,0.2321428571
855,0.152,2.6,0.2321428571
856,0.05472,0.4,0.0357142857
857,0.02368,0.2,0.0178571429
858,0.01184,0.2,0.0178571429
859,0.01184,2.2,0.1964285714
860,0.13088,11.2,1
861,0.66688,2.2,0.1964285714
862,0.12704,2.4,0.2142857143
863,0.14208,2.4,0.2142857143
864,0.24864,3.2,0.2857142857
865,0.24864,4.2,0.375
866,0.06848,0.4,0.0357142857
867,0.02176,0.2,0.0178571429
868,0.00992,1.6,0.1428571429
869,0.08448,2.4,0.2142857143
870,0.12672,1.2,0.1071428571
871,0.06208,0.8,0.0714285714
872,0.04864,0.8,0.0714285714
873,0.04736,3.8,0.3392857143
874,0.21472,3,0.2678571429
875,0.16928,3,0.2678571429
876,0.07424,1.4,0.125
877,0.08608,1.4,0.125
878,0.0592,1,0.0892857143
879,0.13056,2.2,0.1964285714
880,0.0592,1.2,0.1071428571
